                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7637,                 4.2549,                 2.6134,                 0.5444,                0.08202,                0.19733,                0.07444,                 2.6562,                 6.2345,                 4.4446,               0.070289,              0.0024751,              0.0024751
                      2,                 1.7425,                 3.6409,                 2.5457,                0.42424,                0.20675,                0.11037,                0.03875,                 2.1199,                 3.9773,                 3.4621,               0.040476,               0.004941,               0.004941
                      3,                 1.6607,                 3.4663,                 2.4424,                0.12487,                0.38829,                0.18234,                0.08132,                 1.8337,                   3.07,                 2.7203,               0.010646,              0.0073906,              0.0073906
                      4,                 1.5973,                 3.3085,                 2.3819,                0.32922,                0.30727,                0.22723,                0.10736,                 1.6928,                 2.6901,                 2.4924,               0.007614,               0.007614,               0.007614
                      5,                 1.5481,                 3.1206,                 2.3152,                0.54035,                0.34664,                0.27721,                0.14045,                 1.5979,                 2.5286,                 2.3429,               0.007614,               0.007614,               0.007614
                      6,                 1.5394,                 3.0685,                 2.2993,                 0.5321,                0.42569,                0.27505,                0.11931,                 1.7331,                 2.5285,                 2.5897,              0.0075887,              0.0075887,              0.0075887
                      7,                 1.4847,                 2.9603,                 2.2306,                 0.3603,                0.43533,                0.27973,                0.13169,                 1.6752,                 2.4792,                 2.4114,              0.0075633,              0.0075633,              0.0075633
                      8,                 1.4655,                 2.8869,                 2.2051,                0.35759,                0.44078,                0.31232,                0.15586,                 1.6075,                  2.309,                  2.308,               0.007538,               0.007538,               0.007538
                      9,                 1.4347,                  2.832,                 2.1615,                0.70387,                0.36314,                 0.3254,                 0.1714,                 1.5837,                 2.3061,                 2.3096,              0.0075126,              0.0075126,              0.0075126
                     10,                 1.4367,                 2.7935,                 2.1634,                0.37947,                0.48011,                0.32676,                0.17511,                 1.4484,                 2.1973,                 2.1278,              0.0074873,              0.0074873,              0.0074873
                     11,                 1.4081,                 2.7143,                 2.1233,                0.60386,                0.36894,                  0.359,                0.20651,                  1.385,                 1.9973,                 2.0709,               0.007462,               0.007462,               0.007462
                     12,                 1.3737,                 2.6664,                 2.0923,                0.37999,                0.54417,                 0.3785,                0.22113,                 1.3725,                  2.057,                 2.0403,              0.0074366,              0.0074366,              0.0074366
                     13,                 1.3687,                 2.6357,                 2.0747,                0.57584,                0.44749,                0.35573,                0.19744,                 1.4826,                 1.9868,                 2.0992,              0.0074113,              0.0074113,              0.0074113
                     14,                 1.3532,                 2.5337,                 2.0586,                0.40361,                0.47463,                 0.3652,                0.21119,                 1.4884,                 1.9355,                  2.178,               0.007386,               0.007386,               0.007386
                     15,                 1.3376,                 2.5464,                 2.0573,                0.61759,                0.41537,                0.37311,                0.22632,                  1.271,                 1.9509,                 1.9925,              0.0073606,              0.0073606,              0.0073606
                     16,                 1.3131,                 2.5372,                 2.0363,                0.43649,                0.63985,                 0.4592,                0.29694,                 1.1827,                 1.8616,                 1.8989,              0.0073353,              0.0073353,              0.0073353
                     17,                 1.2893,                 2.4827,                 1.9979,                0.59993,                0.51484,                0.38706,                0.23402,                 1.3661,                 1.9884,                 2.0596,                0.00731,                0.00731,                0.00731
                     18,                 1.2689,                 2.4194,                 1.9796,                0.61636,                0.46825,                0.41388,                 0.2585,                 1.2536,                 1.8228,                 1.9289,              0.0072846,              0.0072846,              0.0072846
                     19,                  1.261,                 2.3909,                 1.9822,                0.82895,                  0.314,                0.39099,                0.24752,                 1.2419,                 1.8815,                 1.9526,              0.0072593,              0.0072593,              0.0072593
                     20,                 1.2583,                 2.3399,                 1.9757,                0.48102,                0.54748,                0.43022,                0.26869,                 1.1644,                 1.8021,                 1.8471,               0.007234,               0.007234,               0.007234
                     21,                 1.2402,                 2.3153,                 1.9563,                0.28311,                0.43149,                0.40225,                0.24864,                 1.2726,                 1.8244,                 1.9114,              0.0072086,              0.0072086,              0.0072086
                     22,                   1.23,                 2.3056,                  1.939,                0.51684,                0.48152,                0.47988,                0.33679,                 1.0956,                  1.639,                 1.7969,              0.0071833,              0.0071833,              0.0071833
                     23,                  1.222,                 2.2834,                 1.9327,                0.45067,                 0.6613,                0.42709,                0.26701,                 1.2724,                 1.7899,                 1.9275,              0.0071579,              0.0071579,              0.0071579
                     24,                 1.2203,                 2.2609,                 1.9264,                0.34282,                0.74405,                0.55533,                0.40254,                 1.1137,                 1.7264,                 1.7885,              0.0071326,              0.0071326,              0.0071326
                     25,                 1.2139,                 2.2117,                 1.9191,                0.45024,                0.53557,                0.45964,                0.29678,                 1.1274,                 1.6722,                 1.7808,              0.0071073,              0.0071073,              0.0071073
                     26,                 1.1934,                 2.1883,                 1.8973,                  0.527,                0.48306,                 0.4325,                0.28424,                 1.0741,                 1.5899,                 1.7669,              0.0070819,              0.0070819,              0.0070819
                     27,                  1.186,                 2.1123,                 1.8944,                0.31953,                0.65729,                 0.5915,                0.40009,                 1.3481,                 1.6564,                 1.9987,              0.0070566,              0.0070566,              0.0070566
                     28,                  1.169,                 2.1343,                 1.8692,                  0.577,                0.61214,                0.49694,                0.32712,                 1.2075,                 1.7003,                 1.8742,              0.0070313,              0.0070313,              0.0070313
                     29,                 1.1724,                 2.0897,                  1.871,                 0.5343,                0.65317,                0.51426,                0.32551,                 1.1758,                 1.5282,                 1.8239,              0.0070059,              0.0070059,              0.0070059
                     30,                  1.154,                 2.0311,                 1.8487,                0.64192,                0.53482,                0.61548,                0.44806,                 1.0854,                 1.6264,                 1.7516,              0.0069806,              0.0069806,              0.0069806
                     31,                 1.1514,                 2.0122,                 1.8391,                0.74419,                0.37311,                0.43675,                0.28783,                 1.1108,                 1.7265,                 1.8169,              0.0069553,              0.0069553,              0.0069553
                     32,                 1.1519,                 2.0114,                 1.8437,                0.57225,                0.41464,                0.47438,                0.30493,                 1.2477,                 1.5881,                  1.912,              0.0069299,              0.0069299,              0.0069299
                     33,                 1.1463,                 1.9597,                 1.8372,                0.38739,                0.49123,                0.46632,                0.31636,                  1.059,                 1.5055,                 1.6966,              0.0069046,              0.0069046,              0.0069046
                     34,                 1.1297,                 1.9399,                 1.8367,                  0.366,                0.68522,                0.51274,                0.34756,                 1.0984,                 1.4833,                 1.7541,              0.0068793,              0.0068793,              0.0068793
                     35,                 1.1239,                 1.9444,                 1.8238,                0.41906,                0.70407,                0.52581,                0.36295,                 1.0653,                 1.4902,                  1.752,              0.0068539,              0.0068539,              0.0068539
                     36,                 1.1144,                 1.9007,                 1.8178,                0.39957,                0.55579,                0.48701,                0.33852,                  1.019,                 1.4253,                 1.7065,              0.0068286,              0.0068286,              0.0068286
                     37,                 1.1136,                 1.8812,                 1.8132,                 0.4386,                0.67364,                0.63183,                0.45246,                 1.0463,                 1.5829,                 1.7331,              0.0068032,              0.0068032,              0.0068032
                     38,                 1.0959,                 1.8595,                 1.8028,                0.50053,                0.69438,                0.65213,                0.48492,                 1.0543,                 1.4616,                 1.7356,              0.0067779,              0.0067779,              0.0067779
                     39,                 1.0803,                 1.8128,                 1.7835,                0.65432,                0.45227,                0.54966,                  0.392,                 0.9779,                 1.5175,                 1.6598,              0.0067526,              0.0067526,              0.0067526
                     40,                 1.0919,                 1.7888,                 1.7877,                0.47256,                0.63957,                0.53766,                0.38978,                 1.0107,                 1.4665,                 1.7412,              0.0067272,              0.0067272,              0.0067272
                     41,                 1.0618,                  1.766,                 1.7609,                0.54532,                0.50368,                0.52389,                0.35867,                 1.0367,                 1.4538,                 1.7039,              0.0067019,              0.0067019,              0.0067019
                     42,                 1.0647,                 1.7541,                 1.7654,                0.47456,                0.55212,                0.54608,                0.37591,                 1.0432,                 1.2999,                 1.7067,              0.0066766,              0.0066766,              0.0066766
                     43,                 1.0651,                 1.7262,                 1.7655,                0.65748,                0.57668,                0.65365,                0.49046,                 1.0718,                 1.6229,                 1.7067,              0.0066512,              0.0066512,              0.0066512
                     44,                 1.0579,                 1.7064,                  1.756,                0.55069,                0.61381,                  0.595,                0.42046,                 1.0037,                 1.3797,                 1.6763,              0.0066259,              0.0066259,              0.0066259
                     45,                 1.0433,                 1.7039,                 1.7467,                0.62891,                0.64199,                0.67026,                0.50151,                 1.0326,                 1.5601,                  1.686,              0.0066006,              0.0066006,              0.0066006
                     46,                 1.0733,                  1.692,                 1.7654,                0.61546,                0.65224,                0.67629,                0.47267,                 1.1131,                 1.4969,                 1.7943,              0.0065752,              0.0065752,              0.0065752
                     47,                 1.0341,                 1.6598,                 1.7329,                0.49103,                0.66346,                0.57801,                0.42271,                0.95681,                 1.4872,                 1.6668,              0.0065499,              0.0065499,              0.0065499
                     48,                 1.0124,                 1.6011,                 1.7151,                0.38592,                0.57754,                0.53518,                0.37939,                  1.012,                 1.5453,                 1.6838,              0.0065246,              0.0065246,              0.0065246
