                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4562,                 2.9387,                 1.8509,                0.53721,                 0.3596,                0.26322,                0.11557,                 1.9132,                 2.0298,                 2.3742,             0.00030213,             0.00030213,             0.00030213
                      2,                 1.4431,                 1.9959,                 1.8271,                0.63854,                0.32791,                0.35947,                0.20174,                  1.844,                  2.192,                 2.3175,             0.00059914,             0.00059914,             0.00059914
                      3,                 1.4454,                 1.9661,                 1.8345,                 0.4457,                0.69766,                0.52489,                0.28572,                 1.7029,                 1.6967,                 2.1343,             0.00089015,             0.00089015,             0.00089015
                      4,                 1.4177,                 1.8692,                 1.7997,                0.21487,                 0.5312,                0.41283,                0.22476,                 1.6356,                 1.6181,                 2.0865,               0.000882,               0.000882,               0.000882
                      5,                  1.356,                 1.7618,                 1.7369,                0.55859,                0.68211,                0.61484,                 0.3965,                 1.2977,                 1.2926,                 1.8078,               0.000882,               0.000882,               0.000882
                      6,                 1.3081,                 1.6701,                 1.6976,                0.40087,                0.68643,                 0.5335,                0.31681,                 1.3861,                 1.4158,                 1.8356,               0.000873,               0.000873,               0.000873
                      7,                 1.2618,                 1.5695,                 1.6606,                0.72566,                0.59098,                0.64567,                0.39467,                 1.4142,                 1.1726,                  1.833,               0.000864,               0.000864,               0.000864
                      8,                 1.2238,                 1.5041,                 1.6244,                0.51491,                0.72895,                0.55911,                0.35935,                 1.2685,                 1.1454,                 1.7426,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.1981,                 1.4478,                 1.6064,                0.55902,                0.70991,                0.52313,                0.32004,                 1.2494,                 1.0513,                 1.7298,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.1842,                 1.4161,                 1.5878,                0.38669,                  0.675,                0.54533,                0.33751,                  1.283,                 1.0705,                 1.7224,             0.00083701,             0.00083701,             0.00083701
                     11,                  1.174,                  1.367,                 1.5663,                0.68725,                0.62977,                0.70737,                0.48998,                 1.0968,                 1.0099,                 1.5948,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.1514,                  1.327,                  1.558,                0.65142,                0.47921,                0.53963,                0.34061,                 1.2694,                 1.0687,                 1.7326,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.1268,                 1.2938,                 1.5467,                0.62393,                0.58446,                0.70216,                0.44127,                 1.2033,                0.95395,                 1.6465,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.1113,                 1.2486,                 1.5316,                0.53176,                0.70473,                0.57109,                0.37439,                 1.1398,                 1.0571,                 1.6155,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.1018,                 1.2372,                 1.5115,                0.42871,                0.54411,                0.54519,                0.38175,                 1.0435,                 1.0316,                 1.5499,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.0733,                 1.1892,                 1.4996,                0.48691,                0.56715,                0.55023,                0.35822,                 1.1864,                 1.0281,                  1.646,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.0682,                 1.1727,                 1.4976,                0.41428,                 0.5407,                0.52196,                0.34831,                 1.0935,                0.98978,                 1.6043,             0.00077401,             0.00077401,             0.00077401
                     18,                  1.048,                 1.1197,                 1.4739,                0.51901,                 0.5347,                0.54707,                0.38262,                 1.0144,                0.92515,                 1.5326,             0.00076501,             0.00076501,             0.00076501
                     19,                 1.0301,                 1.1197,                 1.4647,                0.80448,                0.46781,                0.54696,                0.38848,                 1.0297,                0.92189,                 1.5354,             0.00075602,             0.00075602,             0.00075602
                     20,                  1.028,                 1.1108,                 1.4646,                0.63069,                0.49557,                0.51232,                 0.3495,                 1.0551,                0.93031,                 1.5525,             0.00074702,             0.00074702,             0.00074702
                     21,                 1.0234,                 1.0663,                 1.4484,                0.50939,                0.50587,                0.53401,                0.35529,                 1.0657,                0.93124,                 1.5488,             0.00073802,             0.00073802,             0.00073802
                     22,                0.99536,                 1.0379,                  1.438,                0.80788,                0.48674,                0.50575,                0.35406,                 1.0291,                0.96857,                 1.5131,             0.00072902,             0.00072902,             0.00072902
                     23,                0.99121,                 1.0382,                 1.4301,                0.47465,                0.55022,                0.53485,                0.37759,                0.96339,                0.96285,                 1.4979,             0.00072002,             0.00072002,             0.00072002
                     24,                0.97928,                 1.0119,                  1.429,                0.44125,                0.55198,                0.52065,                0.36309,                0.97773,                0.99886,                 1.4947,             0.00071102,             0.00071102,             0.00071102
