                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1065,                 1.1506,                 1.5432,                0.55861,                0.71616,                0.72618,                0.56326,                0.96639,                0.88279,                 1.4129,               0.051389,              0.0049607,              0.0049607
                      2,                 1.0998,                 1.1378,                 1.5286,                0.49213,                0.70661,                0.63304,                0.45713,                 1.0766,                0.94724,                 1.4631,              0.0089544,              0.0089544,              0.0089544
                      3,                 1.0853,                 1.1233,                 1.5142,                0.68323,                0.50546,                0.59311,                0.43782,                 1.0314,                 1.0282,                 1.4472,              0.0089544,              0.0089544,              0.0089544
                      4,                 1.0713,                 1.0968,                 1.5021,                0.44491,                0.69822,                0.54296,                0.38462,                 1.0183,                 1.1133,                  1.435,              0.0086489,              0.0086489,              0.0086489
                      5,                 1.0541,                 1.0726,                 1.4854,                0.85885,                0.51629,                0.70737,                0.53389,                0.97099,                0.94222,                 1.4218,              0.0083433,              0.0083433,              0.0083433
                      6,                 1.0464,                 1.0561,                  1.488,                0.59405,                0.48316,                0.55459,                0.41219,                0.98279,                 1.0568,                 1.4189,              0.0080377,              0.0080377,              0.0080377
                      7,                 1.0506,                 1.0443,                 1.4823,                0.68608,                0.66772,                0.70272,                0.53755,                0.95836,                0.87799,                 1.4027,              0.0077321,              0.0077321,              0.0077321
                      8,                 1.0189,                 1.0103,                 1.4638,                0.48907,                0.76515,                0.60625,                0.44095,                0.97623,                0.84257,                 1.4056,              0.0074266,              0.0074266,              0.0074266
                      9,                 1.0032,                0.98456,                 1.4489,                 0.6207,                0.64869,                0.67485,                0.50732,                0.97145,                0.91965,                 1.4155,               0.007121,               0.007121,               0.007121
                     10,                0.99828,                0.98032,                 1.4524,                 0.7529,                0.51978,                0.68202,                0.51412,                0.95455,                0.90329,                  1.381,              0.0068154,              0.0068154,              0.0068154
                     11,                0.99167,                0.95136,                 1.4419,                0.59741,                0.59581,                0.65106,                0.49095,                0.93018,                0.89625,                 1.3602,              0.0065098,              0.0065098,              0.0065098
                     12,                0.97213,                 0.9351,                 1.4255,                0.58332,                 0.6193,                0.60983,                  0.444,                0.96811,                0.91784,                 1.3923,              0.0062043,              0.0062043,              0.0062043
                     13,                0.96068,                0.92077,                 1.4143,                0.77113,                0.63664,                0.74381,                0.55627,                0.94488,                0.85666,                 1.3821,              0.0058987,              0.0058987,              0.0058987
                     14,                0.95411,                0.89896,                 1.4099,                0.65082,                0.71339,                0.69478,                0.52713,                 0.9514,                 0.8769,                 1.3976,              0.0055931,              0.0055931,              0.0055931
                     15,                 0.9362,                0.87412,                 1.3992,                0.62627,                0.68292,                0.63119,                0.47886,                0.91359,                0.84328,                 1.3893,              0.0052875,              0.0052875,              0.0052875
                     16,                0.93296,                0.87035,                 1.3948,                0.66762,                0.62457,                0.65514,                0.50583,                0.94135,                0.85102,                 1.4023,               0.004982,               0.004982,               0.004982
                     17,                0.91856,                0.85626,                 1.3841,                0.83588,                0.52436,                 0.6455,                 0.5082,                0.90279,                0.87343,                 1.3588,              0.0046764,              0.0046764,              0.0046764
                     18,                 0.9023,                0.84245,                 1.3699,                0.49249,                 0.7279,                0.64542,                0.47861,                0.94697,                0.83039,                 1.3982,              0.0043708,              0.0043708,              0.0043708
                     19,                0.89575,                0.82909,                 1.3724,                0.68352,                0.59966,                0.69542,                0.53151,                0.91659,                0.83112,                 1.3804,              0.0040652,              0.0040652,              0.0040652
                     20,                0.88517,                0.81001,                 1.3623,                0.58834,                 0.5774,                0.62604,                0.46864,                0.89974,                0.83939,                 1.3718,              0.0037597,              0.0037597,              0.0037597
                     21,                0.74613,                0.40744,                 1.2893,                0.55219,                0.63085,                0.60603,                0.45762,                  0.898,                0.88326,                 1.3675,              0.0034541,              0.0034541,              0.0034541
                     22,                0.72029,                0.38573,                 1.2666,                0.58982,                  0.539,                0.59298,                0.44768,                0.91936,                0.86213,                 1.3984,              0.0031485,              0.0031485,              0.0031485
                     23,                0.70244,                0.36557,                 1.2498,                0.70985,                 0.5212,                0.57451,                0.43818,                0.89526,                0.87101,                 1.3849,              0.0028429,              0.0028429,              0.0028429
                     24,                0.68267,                0.35177,                 1.2327,                0.47846,                  0.657,                0.56531,                0.43761,                0.90416,                0.89122,                 1.3946,              0.0025374,              0.0025374,              0.0025374
                     25,                0.66653,                0.34567,                 1.2288,                0.53541,                0.57666,                0.60782,                0.46312,                0.91075,                0.82688,                 1.4259,              0.0022318,              0.0022318,              0.0022318
                     26,                0.65017,                0.32831,                 1.2037,                0.54694,                0.56917,                0.58603,                0.44779,                0.89812,                0.83818,                 1.4083,              0.0019262,              0.0019262,              0.0019262
                     27,                0.63298,                0.31988,                 1.1944,                0.60011,                0.68827,                0.62445,                0.48127,                0.89009,                0.84078,                 1.4172,              0.0016207,              0.0016207,              0.0016207
                     28,                0.61897,                0.31058,                 1.1823,                0.51226,                 0.6936,                0.60812,                0.46655,                0.88062,                0.85214,                 1.4104,              0.0013151,              0.0013151,              0.0013151
                     29,                0.61621,                  0.312,                 1.1852,                0.55673,                 0.6006,                0.59807,                0.45697,                 0.8818,                0.82026,                 1.4027,              0.0010095,              0.0010095,              0.0010095
                     30,                 0.6056,                0.29973,                 1.1702,                0.58908,                0.59658,                0.59948,                0.45871,                 0.8784,                0.84073,                 1.4187,             0.00070393,             0.00070393,             0.00070393
