fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.561,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.59389,0.01,0.00954,0.94171,0.00049,1.82218,0.81551,7.79241,0.50359,1.55806,0.0155,0.7,0.31877,0.0,0.1258,0.47383,0.0,0.0,0.0,0.44145,1.0,0.0,0.0
0.60949,0.01272,0.00833,0.97359,0.00051,1.82218,0.95,8.41893,0.52108,1.65017,0.01524,0.7,0.31877,0.0,0.0839,0.52997,0.0,0.0,0.0,0.36037,1.0,0.0,0.0
0.56542,0.01426,0.00833,0.96464,0.00051,2.03574,0.91996,9.94219,0.46878,1.73409,0.01524,0.71636,0.31991,0.0,0.08834,0.52997,0.0,0.0,0.0,0.36037,1.0,0.0,0.0
0.56036,0.01272,0.00907,0.91926,0.00051,1.86932,0.95,8.41893,0.5595,1.65017,0.01514,0.738,0.31877,0.0,0.0839,0.49814,0.0,0.0,0.0,0.33974,0.99183,0.0,0.0
0.61312,0.01,0.00982,0.93077,0.0005,1.72831,0.79875,7.96676,0.49251,1.58701,0.01551,0.7,0.3091,0.0,0.12656,0.47383,0.0,0.0,0.0,0.44169,1.0,0.0,0.0
0.59924,0.01262,0.00794,0.9789,0.00051,1.73037,0.95,8.0449,0.52108,1.65017,0.01545,0.73163,0.32105,0.0,0.0839,0.52997,0.0,0.0,0.0,0.36037,1.0,0.0,0.0
0.57955,0.00926,0.01002,0.93069,0.00052,1.86359,0.88127,7.58772,0.49251,1.61317,0.01628,0.74642,0.30845,0.0,0.1326,0.41777,0.0,0.0,0.0,0.44169,0.84182,0.0,0.0
0.60669,0.00966,0.00872,0.91735,0.00059,1.71341,0.91956,7.01457,0.43303,1.59233,0.0155,0.64086,0.29218,0.0,0.1258,0.40198,0.0,0.0,0.0,0.48238,0.6561,0.0,0.0
0.58135,0.00928,0.01125,0.91735,0.00059,1.13247,0.95,7.26658,0.42666,1.59233,0.01528,0.50975,0.29218,0.0,0.1401,0.44794,0.0,0.0,0.0,0.41846,0.72788,0.0,0.0
0.5944,0.01001,0.00993,0.98,0.00058,2.01662,0.75252,7.79791,0.57621,1.64492,0.01636,0.75583,0.24055,0.0,0.12421,0.47383,0.0,0.0,0.0,0.46939,1.0,0.0,0.0
0.59357,0.01074,0.01097,0.93709,0.00049,1.55642,0.79109,7.96676,0.49251,1.46015,0.01532,0.68287,0.3091,0.0,0.13891,0.45168,0.0,0.0,0.0,0.44169,0.92315,0.0,0.0
0.57574,0.00959,0.01022,0.92602,0.00048,1.72831,0.82095,7.43578,0.49551,1.51539,0.01551,0.65419,0.30555,0.0,0.12799,0.44783,0.0,0.0,0.0,0.38634,1.0,0.0,0.0
0.61188,0.0107,0.00825,0.94599,0.00064,0.96255,0.95,6.77825,0.38324,1.61228,0.0155,0.58918,0.29909,0.0,0.09512,0.46502,0.0,0.0,0.0,0.4883,0.6561,0.0,0.0
0.5851,0.01285,0.00823,0.97577,0.0005,1.81599,0.94288,8.49987,0.52069,1.65017,0.01546,0.7,0.31877,0.0,0.0839,0.52997,0.0,0.0,0.0,0.36198,1.0,0.0,0.0
0.57119,0.00955,0.0094,0.92034,0.00051,1.73356,0.73213,8.37496,0.47268,1.64554,0.01551,0.7,0.28824,0.0,0.12656,0.47575,0.0,0.0,0.0,0.45286,0.98633,0.0,0.0
0.61003,0.01033,0.0094,0.92596,0.00049,1.75626,0.78401,8.17879,0.48154,1.54344,0.01551,0.7,0.31032,0.0,0.13032,0.47292,0.0,0.0,0.0,0.44446,1.0,0.0,0.0
0.61418,0.0107,0.00719,0.9209,0.00062,0.91169,0.88237,7.60778,0.37221,1.61228,0.0149,0.58918,0.29909,0.0,0.10301,0.46502,0.0,0.0,0.0,0.42842,0.55417,0.0,0.0
0.59607,0.01008,0.00979,0.9323,0.0005,1.72831,0.79368,7.96676,0.49251,1.58669,0.01551,0.69941,0.3091,0.0,0.1259,0.4702,0.0,0.0,0.0,0.44526,1.0,0.0,0.0
0.59117,0.01033,0.01428,0.98,0.00072,1.43606,0.85401,5.62062,0.39979,1.91171,0.02221,0.75357,0.27377,0.0,0.10585,0.4825,0.0,0.0,0.0,0.44446,0.80311,0.0,0.0
0.57214,0.00991,0.00841,0.93037,0.00062,1.07139,0.88237,8.23201,0.37221,1.2379,0.0149,0.58918,0.28802,0.0,0.10301,0.44791,0.0,0.0,0.0,0.34286,0.60228,0.0,0.0
0.59645,0.00973,0.01016,0.93468,0.00042,1.75847,0.92442,7.96676,0.47465,1.58701,0.01551,0.7817,0.3091,0.0,0.12656,0.45354,0.0,0.0,0.0,0.50638,0.82587,0.0,0.0
0.56358,0.0103,0.01009,0.93077,0.00047,1.69743,0.93608,7.05915,0.50996,1.47873,0.01661,0.74592,0.35519,0.0,0.12656,0.45165,0.0,0.0,0.0,0.4268,1.0,0.0,0.0
