                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4626,                 3.2888,                 1.9068,                0.40297,                0.23148,                0.10388,                0.03368,                 1.9125,                 4.6482,                 2.7687,               0.072061,              0.0018118,              0.0018118
                      2,                 1.4618,                 2.9145,                 1.8834,                 0.2799,                0.27785,                0.14756,                0.05972,                 1.7346,                 3.2979,                 2.1609,               0.044006,               0.003593,               0.003593
                      3,                 1.3978,                 2.7269,                 1.8085,                0.48381,                0.27337,                0.19052,                0.09343,                  1.487,                 2.4373,                 1.9414,               0.015914,              0.0053383,              0.0053383
                      4,                 1.3484,                 2.6414,                 1.7666,                0.34953,                0.46495,                0.24294,                0.09913,                 1.6911,                  2.411,                 2.2012,              0.0059095,              0.0059095,              0.0059095
                      5,                 1.2927,                  2.498,                 1.7048,                0.53816,                0.33108,                0.25117,                0.13675,                 1.2876,                 2.0663,                 1.7461,              0.0059095,              0.0059095,              0.0059095
                      6,                  1.259,                 2.4022,                 1.6752,                0.47848,                0.43606,                0.30085,                0.15054,                 1.4348,                 1.9357,                 1.8579,              0.0058494,              0.0058494,              0.0058494
                      7,                 1.2316,                 2.2884,                 1.6345,                0.53934,                0.36408,                0.30471,                0.15048,                 1.3852,                 1.7919,                 1.7441,              0.0057892,              0.0057892,              0.0057892
                      8,                 1.2056,                 2.2177,                 1.6097,                0.46001,                0.59467,                0.51347,                0.29497,                 1.3411,                 1.6791,                 1.7159,              0.0057291,              0.0057291,              0.0057291
                      9,                 1.1827,                 2.1594,                 1.5877,                0.53521,                0.48841,                0.42171,                0.24338,                 1.2113,                 1.6525,                  1.615,              0.0056689,              0.0056689,              0.0056689
                     10,                 1.1465,                 2.0899,                 1.5588,                0.58109,                0.37537,                0.35526,                0.21038,                  1.115,                 1.7107,                 1.5401,              0.0056088,              0.0056088,              0.0056088
                     11,                  1.146,                 2.0637,                 1.5501,                0.36849,                0.58309,                0.35427,                0.20714,                 1.1489,                 1.6527,                 1.5644,              0.0055486,              0.0055486,              0.0055486
                     12,                 1.1295,                 2.0082,                 1.5338,                0.64293,                0.32692,                 0.4173,                0.22638,                 1.1756,                  1.663,                 1.5671,              0.0054885,              0.0054885,              0.0054885
                     13,                 1.1103,                 1.9873,                 1.5224,                0.66305,                0.38672,                0.41844,                0.23124,                 1.2075,                 1.4767,                 1.5683,              0.0054283,              0.0054283,              0.0054283
                     14,                 1.1073,                 1.9863,                 1.5234,                0.35442,                0.70581,                0.44828,                0.27385,                 1.1117,                 1.4564,                 1.5139,              0.0053682,              0.0053682,              0.0053682
                     15,                 1.0766,                 1.9325,                 1.4843,                0.42518,                0.52422,                0.57207,                0.39194,                0.99272,                 1.4812,                 1.4334,               0.005308,               0.005308,               0.005308
                     16,                 1.0646,                  1.873,                 1.4748,                0.32774,                0.69193,                 0.5446,                0.34932,                 1.0058,                 1.5019,                 1.4438,              0.0052479,              0.0052479,              0.0052479
                     17,                  1.045,                 1.8626,                 1.4657,                 0.2808,                0.46471,                0.40323,                0.26329,                 0.9489,                 1.3761,                 1.3982,              0.0051877,              0.0051877,              0.0051877
                     18,                 1.0439,                 1.8574,                 1.4663,                0.74404,                0.51974,                0.49018,                0.32735,                0.98447,                 1.4406,                 1.4247,              0.0051276,              0.0051276,              0.0051276
                     19,                 1.0297,                 1.7937,                 1.4417,                0.74458,                0.50382,                0.49841,                0.32527,                0.93817,                 1.3688,                 1.3698,              0.0050674,              0.0050674,              0.0050674
                     20,                 1.0152,                  1.769,                 1.4373,                0.40928,                0.63455,                0.47062,                0.31491,                0.94261,                 1.6525,                 1.3778,              0.0050073,              0.0050073,              0.0050073
                     21,                 1.0052,                 1.7407,                 1.4231,                0.28114,                0.52965,                0.45593,                0.28697,                 1.0056,                 1.3224,                 1.4301,              0.0049471,              0.0049471,              0.0049471
                     22,                  1.001,                 1.7042,                 1.4148,                 0.4634,                0.66957,                0.58419,                0.42193,                0.92427,                 1.3741,                 1.3727,               0.004887,               0.004887,               0.004887
                     23,                0.99315,                 1.7058,                 1.4145,                0.40397,                0.58958,                0.49705,                0.33838,                0.97136,                 1.4486,                  1.402,              0.0048268,              0.0048268,              0.0048268
                     24,                0.98616,                 1.6774,                 1.4044,                0.37913,                 0.7738,                0.53663,                0.34047,                 1.0179,                 1.3918,                 1.4146,              0.0047667,              0.0047667,              0.0047667
                     25,                0.97609,                 1.6395,                 1.4034,                0.36912,                0.65196,                0.48614,                0.32658,                0.90989,                 1.3245,                 1.3494,              0.0047065,              0.0047065,              0.0047065
                     26,                0.95988,                 1.5979,                 1.3845,                0.47978,                0.60149,                  0.621,                0.45741,                0.90608,                 1.2306,                 1.3568,              0.0046464,              0.0046464,              0.0046464
                     27,                0.95029,                 1.5759,                 1.3734,                0.73607,                0.57344,                 0.6332,                0.45982,                0.93779,                 1.1854,                 1.3653,              0.0045862,              0.0045862,              0.0045862
                     28,                0.94186,                 1.5435,                 1.3684,                0.75121,                0.41911,                 0.4687,                0.32259,                0.86172,                 1.1651,                 1.3264,              0.0045261,              0.0045261,              0.0045261
                     29,                0.92658,                  1.534,                 1.3629,                0.57811,                0.65502,                0.67813,                0.50323,                0.82633,                 1.0906,                 1.2947,              0.0044659,              0.0044659,              0.0044659
                     30,                0.93105,                 1.5068,                 1.3621,                0.66732,                0.48366,                0.51179,                 0.3489,                 0.8974,                 1.1991,                 1.3202,              0.0044058,              0.0044058,              0.0044058
                     31,                0.92081,                 1.4615,                 1.3504,                0.38367,                0.57863,                0.50023,                0.33742,                 0.8812,                 1.1968,                 1.3185,              0.0043456,              0.0043456,              0.0043456
                     32,                0.91815,                 1.4416,                 1.3437,                0.57084,                0.68136,                0.69074,                0.51151,                0.83269,                 1.0839,                 1.3018,              0.0042855,              0.0042855,              0.0042855
                     33,                0.90724,                 1.4271,                 1.3406,                0.52346,                0.58798,                0.57293,                0.41038,                0.84762,                 1.1003,                 1.2689,              0.0042253,              0.0042253,              0.0042253
